id,key,value,type
6303683,highway,turning_circle,regular
6304011,traffic_calming,bump,regular
6304109,highway,traffic_signals,regular
6514681,traffic_calming,cushion,regular
6515209,created_by,JOSM,regular
6517950,highway,turning_circle,regular
9100868,ref,J54,regular
9100868,highway,traffic_signals,regular
9100868,highway_1,city_junction,regular
10400271,highway,traffic_signals,regular
11675070,created_by,JOSM,regular
11675078,created_by,JOSM,regular
11675085,created_by,JOSM,regular
11675103,created_by,JOSM,regular
11675110,created_by,JOSM,regular
11675118,created_by,JOSM,regular
11675184,created_by,JOSM,regular
11675214,highway,crossing,regular
11675214,crossing,traffic_signals,regular
11675295,created_by,JOSM,regular
11675405,traffic_calming,hump,regular
11675510,created_by,JOSM,regular
11675782,highway,mini_roundabout,regular
11675782,direction,clockwise,regular
11675901,created_by,JOSM,regular
11676059,highway,traffic_signals,regular
11676196,highway,traffic_signals,regular
11680269,ref,3,regular
11680269,name,Clonsilla,regular
11680269,highway,motorway_junction,regular
11680753,created_by,JOSM,regular
11740014,highway,traffic_signals,regular
11740025,traffic_calming,cushion,regular
11740104,created_by,JOSM,regular
11740110,created_by,JOSM,regular
11740812,created_by,JOSM,regular
11853126,highway,turning_circle,regular
11853133,highway,turning_circle,regular
11853224,highway,traffic_signals,regular
11853586,created_by,JOSM,regular
11853721,created_by,JOSM,regular
11853726,highway,traffic_signals,regular
11853795,created_by,JOSM,regular
11854103,created_by,JOSM,regular
11854611,created_by,JOSM,regular
11854652,created_by,JOSM,regular
12114948,created_by,JOSM,regular
12114956,created_by,JOSM,regular
12114973,created_by,JOSM,regular
12115010,created_by,JOSM,regular
12115554,created_by,JOSM,regular
12115564,created_by,JOSM,regular
12115813,ref,5,regular
12115813,name,N2 Finglas,regular
12115813,highway,motorway_junction,regular
12115821,highway,crossing,regular
12117928,ref,J72,regular
12117928,highway,traffic_signals,regular
12238616,created_by,JOSM,regular
12239300,highway,turning_circle,regular
12239512,created_by,JOSM,regular
12239889,created_by,JOSM,regular
12239962,created_by,JOSM,regular
12239984,created_by,JOSM,regular
12240388,created_by,JOSM,regular
12244654,amenity,fuel,regular
12244654,operator,Applegreen,regular
12280637,highway,traffic_signals,regular
12280637,traffic_signals,signal,regular
12280645,highway,traffic_signals,regular
12280695,highway,mini_roundabout,regular
12280695,direction,clockwise,regular
12281015,created_by,JOSM,regular
12281320,traffic_calming,table,regular
12282559,created_by,JOSM,regular
12282566,created_by,JOSM,regular
12283042,created_by,JOSM,regular
12283594,highway,mini_roundabout,regular
12283594,direction,clockwise,regular
12289193,created_by,JOSM,regular
12292263,highway,traffic_signals,regular
12292887,ref,4,regular
12292887,name,Clonee,regular
12292887,highway,motorway_junction,regular
12361135,created_by,JOSM,regular
12361141,created_by,JOSM,regular
12361152,created_by,JOSM,regular
12361158,created_by,JOSM,regular
12361167,created_by,JOSM,regular
12361176,created_by,JOSM,regular
12428383,highway,traffic_signals,regular
12428401,highway,mini_roundabout,regular
12428401,direction,clockwise,regular
12428431,ref,J25,regular
12428431,highway,traffic_signals,regular
12435648,created_by,JOSM,regular
12435724,highway,turning_circle,regular
12435785,created_by,JOSM,regular
12435792,highway,turning_circle,regular
12524747,ref,3,regular
12524747,name,Ashbourne (South),regular
12524747,highway,motorway_junction,regular
12526422,ref,2221,regular
12526422,bench,no,regular
12526422,highway,bus_stop,regular
12526422,shelter,no,regular
12526422,operator,Dublin Bus,regular
12526422,tactile_paving,no,regular
12526422,public_transport,stop_position,regular
12528192,highway,turning_circle,regular
12531929,created_by,JOSM,regular
12531958,created_by,JOSM,regular
12594396,created_by,JOSM,regular
12594403,created_by,JOSM,regular
12594419,created_by,JOSM,regular
12594443,highway,turning_circle,regular
12638395,highway,turning_circle,regular
12638400,created_by,JOSM,regular
12639573,highway,turning_circle,regular
12639615,highway,traffic_signals,regular
12639664,highway,traffic_signals,regular
12640060,highway,traffic_signals,regular
12640083,highway,traffic_signals,regular
12640092,created_by,JOSM,regular
12640312,created_by,JOSM,regular
12640319,created_by,JOSM,regular
12640333,created_by,JOSM,regular
12645916,created_by,JOSM,regular
12645928,created_by,JOSM,regular
12646980,created_by,JOSM,regular
12646992,ref,15,regular
12646992,name,Carrickmines,regular
12646992,source,survey,regular
12646992,exit_to,Cornelscourt; Kilternan; Ballyogan,regular
12646992,highway,motorway_junction,regular
12646992,en,Carrickmines,name
12646992,ga,Carraig Mhaighin,name
12647037,created_by,JOSM,regular
12647087,created_by,JOSM,regular
12647105,created_by,JOSM,regular
12648939,created_by,JOSM,regular
12649669,created_by,JOSM,regular
12784893,ref,J61,regular
12784893,highway,traffic_signals,regular
12784893,highway_1,city_junction,regular
12867474,highway,turning_circle,regular
12955229,highway,turning_circle,regular
12955234,highway,turning_circle,regular
12955252,created_by,JOSM,regular
12955260,created_by,JOSM,regular
12955265,created_by,JOSM,regular
12955277,highway,turning_circle,regular
12955316,created_by,JOSM,regular
13049643,created_by,JOSM,regular
13049648,created_by,JOSM,regular
13049653,created_by,JOSM,regular
13049664,created_by,JOSM,regular
13049669,created_by,JOSM,regular
13049674,created_by,JOSM,regular
13049679,created_by,JOSM,regular
13049684,created_by,JOSM,regular
13049748,highway,traffic_signals,regular
13128608,highway,mini_roundabout,regular
13128608,direction,clockwise,regular
13128627,highway,mini_roundabout,regular
13128627,direction,clockwise,regular
13128726,highway,turning_circle,regular
13228187,highway,traffic_signals,regular
13259925,created_by,JOSM,regular
13260014,traffic_calming,cushion,regular
13390925,created_by,JOSM,regular
13390983,created_by,JOSM,regular
13391020,highway,traffic_signals,regular
13391051,highway,traffic_signals,regular
13391067,highway,traffic_signals,regular
13391073,created_by,JOSM,regular
13391326,created_by,JOSM,regular
13391335,created_by,JOSM,regular
13391352,created_by,JOSM,regular
13393951,created_by,JOSM,regular
13393964,created_by,JOSM,regular
13393974,created_by,JOSM,regular
13394004,created_by,JOSM,regular
13394012,created_by,JOSM,regular
13394027,created_by,JOSM,regular
13982050,traffic_calming,cushion,regular
14186402,created_by,JOSM,regular
14186407,created_by,JOSM,regular
14186412,created_by,JOSM,regular
14186427,created_by,JOSM,regular
14186432,created_by,JOSM,regular
14186442,created_by,JOSM,regular
14189875,created_by,JOSM,regular
14189887,created_by,JOSM,regular
14189894,created_by,JOSM,regular
14190259,created_by,JOSM,regular
14190278,created_by,JOSM,regular
14190284,created_by,JOSM,regular
14190289,created_by,JOSM,regular
14190295,created_by,JOSM,regular
14190300,created_by,JOSM,regular
14190306,created_by,JOSM,regular
14190313,created_by,JOSM,regular
14190318,created_by,JOSM,regular
14190326,created_by,JOSM,regular
14190332,created_by,JOSM,regular
14190381,created_by,JOSM,regular
14190407,created_by,JOSM,regular
14190412,created_by,JOSM,regular
14190444,created_by,JOSM,regular
14299940,created_by,JOSM,regular
14299974,highway,traffic_signals,regular
14304395,created_by,JOSM,regular
14304500,created_by,JOSM,regular
14653123,created_by,JOSM,regular
14653169,traffic_calming,bump,regular
14653183,highway,mini_roundabout,regular
14653183,direction,clockwise,regular
14827507,created_by,JOSM,regular
14827520,highway,turning_circle,regular
14827539,highway,turning_circle,regular
14827552,created_by,JOSM,regular
14827559,created_by,JOSM,regular
14949563,traffic_calming,cushion,regular
14949578,created_by,JOSM,regular
14949583,created_by,JOSM,regular
14949588,created_by,JOSM,regular
14949593,created_by,JOSM,regular
14949614,highway,turning_circle,regular
14955908,created_by,JOSM,regular
14955923,highway,turning_circle,regular
14955950,highway,traffic_signals,regular
14957879,created_by,JOSM,regular
14957885,created_by,JOSM,regular
15413122,created_by,JOSM,regular
15413152,created_by,JOSM,regular
15413200,created_by,JOSM,regular
15413215,created_by,JOSM,regular
15665381,created_by,JOSM,regular
15665386,created_by,JOSM,regular
15665391,created_by,JOSM,regular
15665543,highway,turning_circle,regular
15665555,created_by,JOSM,regular
15852335,created_by,JOSM,regular
15852561,traffic_calming,bump,regular
15853046,highway,traffic_signals,regular
15855932,highway,traffic_signals,regular
15855946,created_by,JOSM,regular
16054029,highway,turning_circle,regular
16054037,highway,mini_roundabout,regular
16054037,direction,clockwise,regular
16054086,traffic_calming,bump,regular
16054096,traffic_calming,bump,regular
16054237,highway,turning_circle,regular
16054292,created_by,JOSM,regular
16054355,highway,turning_circle,regular
16054413,highway,turning_circle,regular
16137382,highway,turning_circle,regular
16157023,highway,turning_circle,regular
16255270,highway,turning_circle,regular
16344982,traffic_calming,bump,regular
16464886,created_by,JOSM,regular
16464935,created_by,JOSM,regular
16464953,highway,turning_circle,regular
16464984,created_by,JOSM,regular
16465075,created_by,JOSM,regular
16465104,highway,turning_circle,regular
16465131,highway,turning_circle,regular
16465184,created_by,JOSM,regular
16465381,highway,turning_circle,regular
16465417,highway,turning_circle,regular
16569939,created_by,JOSM,regular
16569954,highway,turning_circle,regular
16569962,highway,turning_circle,regular
16711498,traffic_calming,bump,regular
16711516,traffic_calming,bump,regular
16711536,traffic_calming,bump,regular
16711961,created_by,JOSM,regular
16713895,created_by,JOSM,regular
16713964,created_by,JOSM,regular
17955727,created_by,JOSM,regular
17955742,created_by,JOSM,regular
17956221,created_by,JOSM,regular
18016216,created_by,JOSM,regular
18016228,created_by,JOSM,regular
18016234,created_by,JOSM,regular
18016240,created_by,JOSM,regular
18016247,created_by,JOSM,regular
18088806,created_by,JOSM,regular
18088842,highway,turning_circle,regular
18088858,highway,turning_circle,regular
18088870,created_by,JOSM,regular
18088910,created_by,JOSM,regular
18088924,highway,turning_circle,regular
18088939,traffic_calming,hump,regular
18088949,created_by,JOSM,regular
18088961,highway,turning_circle,regular
18090035,created_by,JOSM,regular
18157629,highway,turning_circle,regular
18161321,created_by,JOSM,regular
18164506,created_by,JOSM,regular
18164511,created_by,JOSM,regular
18164516,created_by,JOSM,regular
18164522,highway,turning_circle,regular
18238336,highway,turning_circle,regular
18378740,highway,turning_circle,regular
18896142,highway,turning_circle,regular
18896451,highway,turning_circle,regular
19080363,highway,traffic_signals,regular
19080520,created_by,JOSM,regular
19223931,name,Windy Arbour,regular
19223931,tram,yes,regular
19223931,en,Windy Arbour,name
19223931,ga,Na Glasáin,name
19223931,railway,tram_stop,regular
19223931,operator,Luas - Transdev Dublin Light Rail Limited,regular
19223931,wheelchair,yes,regular
19223931,public_transport,stop_position,regular
21430568,highway,mini_roundabout,regular
21430568,direction,clockwise,regular
21484802,highway,traffic_signals,regular
21484813,highway,turning_circle,regular
21519357,highway,turning_circle,regular
21538994,created_by,JOSM,regular
21539286,traffic_calming,bump,regular
21539291,highway,turning_circle,regular
21539334,highway,turning_circle,regular
21539340,highway,turning_circle,regular
25780681,created_by,JOSM,regular
25792564,created_by,JOSM,regular
25807715,created_by,JOSM,regular
25808753,created_by,JOSM,regular
25830730,highway,turning_circle,regular
25830730,created_by,JOSM,regular
25961611,highway,turning_circle,regular
25961829,highway,turning_circle,regular
25961849,highway,turning_circle,regular
25961859,highway,turning_circle,regular
25962033,highway,turning_circle,regular
25962683,highway,turning_circle,regular
25962728,highway,turning_circle,regular
25962819,highway,turning_circle,regular
25962842,highway,turning_circle,regular
25963460,highway,turning_circle,regular
25963465,highway,turning_circle,regular
25963607,highway,turning_circle,regular
25963730,highway,turning_circle,regular
25964540,highway,turning_circle,regular
25964545,highway,turning_circle,regular
25965039,traffic_calming,cushion,regular
25966447,highway,turning_circle,regular
25969365,highway,turning_circle,regular
25973666,highway,traffic_signals,regular
25973703,traffic_calming,hump,regular
25974285,highway,turning_circle,regular
25985859,foot,yes,regular
25985859,barrier,gate,regular
25985859,bicycle,yes,regular
25985859,motorcar,no,regular
25985859,motor_vehicle,no,regular
26165952,railway,level_crossing,regular
26241985,highway,turning_circle,regular
26374617,highway,turning_circle,regular
26374688,ref,9,regular
26374688,name,N7 Red Cow,regular
26374688,source,survey,regular
26374688,exit_to,N7 Limerick; (N8) Cork; (N9) Waterford,regular
26374688,highway,motorway_junction,regular
26384670,traffic_calming,bump,regular
26389166,traffic_calming,bump,regular
26389301,traffic_calming,table,regular
26389440,highway,turning_circle,regular
26389489,traffic_calming,bump,regular
26389530,traffic_calming,table,regular
26413729,highway,turning_circle,regular
26414211,traffic_calming,table,regular
26414319,highway,turning_circle,regular
26447836,highway,turning_circle,regular
26447950,highway,turning_circle,regular
26452552,traffic_calming,hump,regular
26452577,traffic_calming,hump,regular
26452792,highway,turning_circle,regular
26452827,highway,turning_circle,regular
26452852,highway,turning_circle,regular
26452868,highway,turning_circle,regular
26452907,highway,turning_circle,regular
26452932,highway,turning_circle,regular
26452937,highway,turning_circle,regular
26452943,highway,turning_circle,regular
26453009,highway,turning_circle,regular
26453070,highway,turning_circle,regular
26472391,highway,turning_circle,regular
26472402,highway,turning_circle,regular
26472538,highway,turning_circle,regular
26472628,highway,turning_circle,regular
26472682,highway,turning_circle,regular
26472831,highway,turning_circle,regular
26472853,highway,turning_circle,regular
26496181,highway,turning_circle,regular
26496356,highway,turning_circle,regular
26496428,highway,stop,regular
26496450,traffic_calming,hump,regular
26554256,created_by,YahooApplet 1.0,regular
26591036,barrier,bollard,regular
26624171,highway,turning_circle,regular
26624325,created_by,YahooApplet 1.0,regular
26624971,created_by,YahooApplet 1.0,regular
26625232,created_by,YahooApplet 1.0,regular
26625249,created_by,YahooApplet 1.0,regular
26625294,created_by,YahooApplet 1.0,regular
26625299,created_by,YahooApplet 1.0,regular
26625304,created_by,YahooApplet 1.0,regular
26625309,created_by,YahooApplet 1.0,regular
26625314,created_by,YahooApplet 1.0,regular
26625319,created_by,YahooApplet 1.0,regular
26625344,created_by,YahooApplet 1.0,regular
26625358,created_by,YahooApplet 1.0,regular
26625363,created_by,YahooApplet 1.0,regular
26625440,created_by,YahooApplet 1.0,regular
26625447,created_by,YahooApplet 1.0,regular
26625453,created_by,YahooApplet 1.0,regular
26625458,created_by,YahooApplet 1.0,regular
26625464,created_by,YahooApplet 1.0,regular
26625491,created_by,YahooApplet 1.0,regular
26625567,created_by,YahooApplet 1.0,regular
26625577,created_by,YahooApplet 1.0,regular
26625664,created_by,YahooApplet 1.0,regular
26625669,created_by,YahooApplet 1.0,regular
26625674,created_by,YahooApplet 1.0,regular
26625679,created_by,YahooApplet 1.0,regular
26625699,created_by,YahooApplet 1.0,regular
26625704,created_by,YahooApplet 1.0,regular
26625709,created_by,YahooApplet 1.0,regular
26625714,created_by,YahooApplet 1.0,regular
26625719,created_by,YahooApplet 1.0,regular
26625730,created_by,YahooApplet 1.0,regular
26625735,created_by,YahooApplet 1.0,regular
26625743,created_by,YahooApplet 1.0,regular
26625748,created_by,YahooApplet 1.0,regular
26625753,created_by,YahooApplet 1.0,regular
26626553,created_by,YahooApplet 1.0,regular
26626586,created_by,YahooApplet 1.0,regular
26626591,created_by,YahooApplet 1.0,regular
26626596,created_by,YahooApplet 1.0,regular
26626609,created_by,YahooApplet 1.0,regular
26626618,created_by,YahooApplet 1.0,regular
26626628,created_by,YahooApplet 1.0,regular
26635944,created_by,YahooApplet 1.0,regular
26636040,created_by,YahooApplet 1.0,regular
26636045,created_by,YahooApplet 1.0,regular
26636167,created_by,YahooApplet 1.0,regular
26636172,created_by,YahooApplet 1.0,regular
26636249,created_by,YahooApplet 1.0,regular
26636254,created_by,YahooApplet 1.0,regular
26636291,created_by,YahooApplet 1.0,regular
26636411,highway,crossing,regular
26636416,highway,traffic_signals,regular
26650848,created_by,YahooApplet 1.0,regular
26650932,created_by,YahooApplet 1.0,regular
26651233,created_by,YahooApplet 1.0,regular
26651254,highway,turning_circle,regular
26651372,created_by,YahooApplet 1.0,regular
26651377,created_by,YahooApplet 1.0,regular
26651388,highway,turning_circle,regular
26651422,highway,turning_circle,regular
26651535,highway,turning_circle,regular
26651583,created_by,YahooApplet 1.0,regular
26651963,created_by,YahooApplet 1.0,regular
26651996,created_by,YahooApplet 1.0,regular
26657542,created_by,YahooApplet 1.0,regular
26657579,created_by,YahooApplet 1.0,regular
26657652,created_by,YahooApplet 1.0,regular
26657657,highway,turning_circle,regular
26657662,created_by,YahooApplet 1.0,regular
26657668,created_by,YahooApplet 1.0,regular
26658133,highway,turning_circle,regular
26658174,created_by,YahooApplet 1.0,regular
26658197,created_by,YahooApplet 1.0,regular
26658210,created_by,YahooApplet 1.0,regular
26658222,created_by,YahooApplet 1.0,regular
26658227,created_by,YahooApplet 1.0,regular
26673198,created_by,YahooApplet 1.0,regular
26673714,created_by,YahooApplet 1.0,regular
26749629,created_by,YahooApplet 1.0,regular
26749635,created_by,YahooApplet 1.0,regular
26756133,highway,traffic_signals,regular
26759880,barrier,toll_booth,regular
26796067,traffic_calming,hump,regular
26796159,highway,turning_circle,regular
26865955,highway,traffic_signals,regular
26867633,highway,traffic_signals,regular
26914097,created_by,YahooApplet 1.0,regular
26914916,created_by,YahooApplet 1.0,regular
26915133,traffic_calming,hump,regular
26915222,created_by,YahooApplet 1.0,regular
26915700,created_by,YahooApplet 1.0,regular
26915885,fee,€3.00,regular
26915885,barrier,toll_booth,regular
26915885,operator,E-Flow,regular
26915885,designation,M50 barrier-free e-toll,regular
26915900,created_by,YahooApplet 1.0,regular
26916289,highway,traffic_signals,regular
26916337,created_by,YahooApplet 1.0,regular
26916503,created_by,YahooApplet 1.0,regular
26916525,created_by,YahooApplet 1.0,regular
26916545,created_by,YahooApplet 1.0,regular
26916831,created_by,YahooApplet 1.0,regular
26916871,created_by,YahooApplet 1.0,regular
26916979,created_by,YahooApplet 1.0,regular
26916991,created_by,YahooApplet 1.0,regular
26917612,created_by,YahooApplet 1.0,regular
26934445,created_by,YahooApplet 1.0,regular
26934537,highway,crossing,regular
26934537,crossing,unmarked,regular
26935344,created_by,YahooApplet 1.0,regular
26941628,created_by,YahooApplet 1.0,regular
26941654,created_by,YahooApplet 1.0,regular
26955413,created_by,YahooApplet 1.0,regular
26972962,created_by,YahooApplet 1.0,regular
26972988,waterway,lock_gate,regular
26972994,waterway,lock_gate,regular
26973010,created_by,YahooApplet 1.0,regular
26973056,waterway,lock_gate,regular
27012078,waterway,lock_gate,regular
27018982,created_by,JOSM,regular
27091395,created_by,YahooApplet 1.0,regular
27091400,created_by,YahooApplet 1.0,regular
27146968,created_by,JOSM,regular
27398659,highway,traffic_signals,regular
27398690,highway,traffic_signals,regular
27417749,ref,J74,regular
27417749,highway,traffic_signals,regular
27417749,highway_1,city_junction,regular
27435902,created_by,YahooApplet 1.0,regular
27435921,created_by,YahooApplet 1.0,regular
27435926,created_by,YahooApplet 1.0,regular
27436063,created_by,YahooApplet 1.0,regular
27436170,highway,traffic_signals,regular
27436170,crossing,traffic_signals,regular
27436189,highway,traffic_signals,regular
27436435,created_by,YahooApplet 1.0,regular
27456617,created_by,YahooApplet 1.0,regular
27465302,created_by,YahooApplet 1.0,regular
27473976,created_by,YahooApplet 1.0,regular
27473981,created_by,YahooApplet 1.0,regular
27474812,amenity,atm,regular
27474812,operator,AIB,regular
27688323,created_by,YahooApplet 1.0,regular
27688347,created_by,YahooApplet 1.0,regular
27688652,created_by,YahooApplet 1.0,regular
28240747,highway,turning_circle,regular
28244612,noexit,yes,regular
28353218,created_by,YahooApplet 1.0,regular
28835109,created_by,JOSM,regular
28835223,created_by,JOSM,regular
28851055,name,Topaz,regular
28851055,FIXME,I bet this isn't Statoil any more,regular
28851055,amenity,fuel,regular
29396391,created_by,JOSM,regular
29396401,created_by,JOSM,regular
29396422,created_by,JOSM,regular
29402150,traffic_calming,hump,regular
30486236,created_by,JOSM,regular
30486241,created_by,JOSM,regular
30486246,created_by,JOSM,regular
30486256,created_by,JOSM,regular
30486262,created_by,JOSM,regular
30486273,created_by,JOSM,regular
30486283,created_by,JOSM,regular
30486293,created_by,JOSM,regular
30486298,created_by,JOSM,regular
30486310,created_by,JOSM,regular
30486315,created_by,JOSM,regular
30486320,created_by,JOSM,regular
30486325,created_by,JOSM,regular
30589525,ref,6a,regular
30589525,source,survey,regular
30589525,exit_to,R117 Enniskerry,regular
30589525,highway,motorway_junction,regular
30843082,traffic_calming,bump,regular
30843891,highway,turning_circle,regular
30844012,highway,turning_circle,regular
30846464,highway,traffic_signals,regular
30846479,highway,traffic_signals,regular
30846832,highway,crossing,regular
30847246,highway,traffic_signals,regular
31015139,highway,traffic_signals,regular
31053762,highway,traffic_signals,regular
31094871,highway,traffic_signals,regular
31169876,created_by,JOSM,regular
31628859,created_by,JOSM,regular
31901520,created_by,JOSM,regular
31901542,highway,traffic_signals,regular
31901731,highway,traffic_signals,regular
31906521,highway,traffic_signals,regular
31906521,crossing,traffic_signals,regular
31906564,highway,traffic_signals,regular
31906629,highway,traffic_signals,regular
31906644,highway,crossing,regular
31906644,crossing,traffic_signals,regular
31906677,highway,traffic_signals,regular
31908289,created_by,JOSM,regular
31908331,created_by,JOSM,regular
31926608,highway,traffic_signals,regular
31927010,highway,traffic_signals,regular
31933781,highway,traffic_signals,regular
32019322,highway,traffic_signals,regular
32334797,highway,traffic_signals,regular
32334985,highway,traffic_signals,regular
32334985,crossing,traffic_signals,regular
32335036,ref,J52,regular
32335036,highway,traffic_signals,regular
32335036,crossing,traffic_signals,regular
32335403,highway,traffic_signals,regular
32341780,highway,traffic_signals,regular
32434967,highway,mini_roundabout,regular
32434967,direction,clockwise,regular
32434990,highway,mini_roundabout,regular
32434990,direction,clockwise,regular
32435455,created_by,JOSM,regular
32435492,highway,mini_roundabout,regular
32435492,direction,clockwise,regular
32435512,traffic_calming,hump,regular
32436418,highway,traffic_signals,regular
32474326,railway,crossing,regular
32475486,highway,traffic_signals,regular
32476119,railway,level_crossing,regular
32525708,created_by,JOSM,regular
32532751,railway,level_crossing,regular
32558885,name,Porterstown Level Crossing,regular
32558885,railway,level_crossing,regular
32558885,ref,XG008,level_crossing
32563238,created_by,JOSM,regular
34403459,name,Newcastle,regular
34403459,traffic_sign,city_limit,regular
34678861,created_by,JOSM,regular
34678866,created_by,JOSM,regular
34678871,created_by,JOSM,regular
34678896,created_by,JOSM,regular
34822044,created_by,JOSM,regular
36530380,highway,traffic_signals,regular
38559247,created_by,JOSM,regular
38567781,created_by,JOSM,regular
38903210,created_by,JOSM,regular
38903226,created_by,JOSM,regular
38903236,created_by,JOSM,regular
38903241,highway,traffic_signals,regular
38903246,created_by,JOSM,regular
38903251,created_by,JOSM,regular
38903261,traffic_calming,hump,regular
38903266,created_by,JOSM,regular
38916306,highway,traffic_signals,regular
38916526,created_by,JOSM,regular
38917112,created_by,JOSM,regular
38932100,highway,traffic_signals,regular
38937110,highway,traffic_signals,regular
38937694,created_by,JOSM,regular
38953007,created_by,JOSM,regular
38953288,highway,traffic_signals,regular
38980632,highway,traffic_signals,regular
41164739,highway,traffic_signals,regular
41323992,created_by,JOSM,regular
41324015,created_by,JOSM,regular
41324039,created_by,JOSM,regular
41324083,created_by,JOSM,regular
41324109,created_by,JOSM,regular
41324132,created_by,JOSM,regular
41324158,created_by,JOSM,regular
41324209,created_by,JOSM,regular
41324403,created_by,JOSM,regular
41324430,created_by,JOSM,regular
41324467,highway,crossing,regular
41324467,crossing,zebra,regular
41324467,tactile_paving,yes,regular
41324549,created_by,JOSM,regular
41324577,created_by,JOSM,regular
41324603,created_by,JOSM,regular
41324616,created_by,JOSM,regular
41324702,created_by,JOSM,regular
43289939,highway,traffic_signals,regular
43289964,highway,traffic_signals,regular
43291965,highway,turning_circle,regular
43326284,highway,traffic_signals,regular
43543090,created_by,JOSM,regular
43543123,created_by,JOSM,regular
43543191,created_by,JOSM,regular
43543329,created_by,JOSM,regular
43543446,created_by,JOSM,regular
46563435,created_by,JOSM,regular
46563460,created_by,JOSM,regular
46563687,created_by,JOSM,regular
46601793,created_by,JOSM,regular
46659061,created_by,JOSM,regular
47116141,created_by,JOSM,regular
47116197,created_by,JOSM,regular
47116231,created_by,JOSM,regular
47116245,created_by,JOSM,regular
47116263,created_by,JOSM,regular
47116277,created_by,JOSM,regular
47116292,created_by,JOSM,regular
47116334,created_by,JOSM,regular
47154483,highway,traffic_signals,regular
47178366,created_by,JOSM,regular
47192282,bus,yes,regular
47192282,public_transport,stop_position,regular
47212064,highway,traffic_signals,regular
49395791,highway,turning_circle,regular
49396355,highway,turning_circle,regular
49572082,highway,traffic_signals,regular
49572879,highway,turning_circle,regular
49979292,created_by,JOSM,regular
49979388,highway,crossing,regular
49979410,traffic_calming,yes,regular
50865925,highway,traffic_signals,regular
50871590,traffic_calming,hump,regular
50877750,highway,traffic_signals,regular
51452743,railway,crossing,regular
51452781,railway,crossing,regular
51452839,name,Stillorgan,regular
51452839,tram,yes,regular
51452839,en,Stillorgan,name
51452839,ga,Stigh Lorgan,name
51452839,railway,tram_stop,regular
51452839,operator,Luas - Transdev Dublin Light Rail Limited,regular
51452839,wheelchair,yes,regular
51452839,public_transport,stop_position,regular
51476118,created_by,JOSM,regular
51476141,created_by,JOSM,regular
51504382,created_by,JOSM,regular
51504396,created_by,JOSM,regular
